Id,degree,betweenesscentrality,eigencentrality,pageranks
650,10,135.197 ,0.093 ,0.000 
651,38,6620.939 ,0.200 ,0.001 
652,31,4958.938 ,0.202 ,0.001 
653,23,795.971 ,0.155 ,0.001 
654,7,320.308 ,0.048 ,0.000 
655,3,13.465 ,0.038 ,0.000 
656,13,367.928 ,0.101 ,0.000 
657,12,559.880 ,0.071 ,0.000 
658,27,2638.559 ,0.208 ,0.001 
659,19,579.084 ,0.124 ,0.001 
660,2,21.558 ,0.023 ,0.000 
661,12,752.540 ,0.087 ,0.000 
662,5,50.881 ,0.044 ,0.000 
663,8,167.404 ,0.071 ,0.000 
664,3,14.005 ,0.034 ,0.000 
665,4,5.712 ,0.041 ,0.000 
666,16,1155.825 ,0.130 ,0.001 
667,17,422.223 ,0.127 ,0.001 
668,18,12026.468 ,0.059 ,0.001 
669,20,997.999 ,0.146 ,0.001 
670,7,462.478 ,0.072 ,0.000 
671,1,0.000 ,0.020 ,0.000 
672,99,30143.891 ,0.361 ,0.004 
673,18,3452.909 ,0.111 ,0.001 
674,22,1184.155 ,0.132 ,0.001 
675,22,653.634 ,0.166 ,0.001 
676,2,7.260 ,0.021 ,0.000 
677,3,82.725 ,0.035 ,0.000 
678,3,10.103 ,0.043 ,0.000 
679,1,0.000 ,0.020 ,0.000 
680,2,0.000 ,0.033 ,0.000 
681,12,272.713 ,0.086 ,0.000 
682,3,38.810 ,0.023 ,0.000 
683,2,0.000 ,0.033 ,0.000 
684,1,0.000 ,0.020 ,0.000 
685,1,0.000 ,0.020 ,0.000 
686,1,0.000 ,0.020 ,0.000 
687,1,0.000 ,0.020 ,0.000 
688,9,237.895 ,0.050 ,0.000 
689,2,0.662 ,0.013 ,0.000 
690,3,16.607 ,0.024 ,0.000 
691,36,2273.528 ,0.162 ,0.001 
692,9,1538.745 ,0.076 ,0.000 
693,8,50.807 ,0.058 ,0.000 
694,23,1004.099 ,0.162 ,0.001 
695,21,1278.950 ,0.134 ,0.001 
696,7,176.161 ,0.051 ,0.000 
697,45,9885.256 ,0.250 ,0.002 
698,1,0.000 ,0.008 ,0.000 
699,48,2646.017 ,0.241 ,0.001 
700,2,5.249 ,0.012 ,0.000 
701,12,194.344 ,0.085 ,0.000 
702,2,0.000 ,0.016 ,0.000 
703,6,66.716 ,0.046 ,0.000 
704,8,71.414 ,0.068 ,0.000 
705,2,3.779 ,0.024 ,0.000 
706,4,73.300 ,0.024 ,0.000 
707,1,0.000 ,0.008 ,0.000 
708,14,187.650 ,0.083 ,0.000 
709,5,17.301 ,0.051 ,0.000 
710,3,6.547 ,0.018 ,0.000 
711,10,74.578 ,0.040 ,0.000 
712,2,7.303 ,0.023 ,0.000 
713,44,2890.265 ,0.212 ,0.001 
714,7,61.832 ,0.061 ,0.000 
715,29,1591.876 ,0.185 ,0.001 
716,15,1258.134 ,0.088 ,0.001 
717,38,2476.533 ,0.190 ,0.001 
718,26,1028.241 ,0.129 ,0.001 
719,227,107890.694 ,0.784 ,0.009 
720,6,78.026 ,0.039 ,0.000 
721,3,4.427 ,0.038 ,0.000 
722,8,68.259 ,0.058 ,0.000 
723,2,3.523 ,0.011 ,0.000 
724,12,4588.744 ,0.050 ,0.001 
725,91,10049.016 ,0.515 ,0.003 
726,25,2358.762 ,0.152 ,0.001 
727,5,30.092 ,0.022 ,0.000 
728,1,0.000 ,0.008 ,0.000 
729,5,456.577 ,0.021 ,0.000 
730,9,278.403 ,0.070 ,0.000 
731,50,17322.551 ,0.153 ,0.002 
732,39,2407.231 ,0.182 ,0.001 
733,7,94.154 ,0.062 ,0.000 
734,7,2024.923 ,0.025 ,0.000 
735,5,25.894 ,0.062 ,0.000 
736,48,6845.916 ,0.300 ,0.002 
737,7,67.134 ,0.084 ,0.000 
738,3,23.771 ,0.032 ,0.000 
739,7,205.265 ,0.073 ,0.000 
740,6,191.061 ,0.026 ,0.000 
741,1,0.000 ,0.015 ,0.000 
742,16,2707.451 ,0.101 ,0.001 
743,3,507.011 ,0.018 ,0.000 
744,4,29.051 ,0.063 ,0.000 
745,4,71.267 ,0.048 ,0.000 
746,4,68.964 ,0.042 ,0.000 
747,9,216.593 ,0.061 ,0.000 
748,105,17257.146 ,0.511 ,0.003 
749,3,11.880 ,0.032 ,0.000 
750,3,43.324 ,0.021 ,0.000 
751,2,5.292 ,0.018 ,0.000 
752,3,40.650 ,0.033 ,0.000 
753,2,0.000 ,0.020 ,0.000 
754,13,299.278 ,0.095 ,0.000 
755,8,77.036 ,0.077 ,0.000 
756,9,107.473 ,0.065 ,0.000 
757,24,846.459 ,0.185 ,0.001 
758,3,11.675 ,0.034 ,0.000 
759,4,34.331 ,0.040 ,0.000 
760,62,5362.462 ,0.350 ,0.002 
761,26,2835.989 ,0.181 ,0.001 
762,29,1817.547 ,0.208 ,0.001 
763,23,2532.271 ,0.114 ,0.001 
764,4,16.996 ,0.049 ,0.000 
765,2,0.000 ,0.021 ,0.000 
766,12,265.656 ,0.077 ,0.000 
767,11,2201.312 ,0.063 ,0.000 
768,3,5.270 ,0.023 ,0.000 
769,4,18.644 ,0.033 ,0.000 
770,28,1453.271 ,0.137 ,0.001 
771,29,2110.094 ,0.204 ,0.001 
772,16,411.391 ,0.101 ,0.001 
773,27,2057.354 ,0.194 ,0.001 
774,39,5839.107 ,0.231 ,0.001 
775,17,1036.639 ,0.076 ,0.001 
776,5,60.752 ,0.028 ,0.000 
777,9,167.534 ,0.055 ,0.000 
778,12,113.632 ,0.105 ,0.000 
779,22,770.579 ,0.135 ,0.001 
780,14,167.461 ,0.132 ,0.000 
781,31,6029.733 ,0.186 ,0.001 
782,5,24.177 ,0.049 ,0.000 
783,6,72.345 ,0.053 ,0.000 
784,31,1661.099 ,0.226 ,0.001 
785,80,10870.864 ,0.396 ,0.002 
786,42,5748.733 ,0.172 ,0.001 
787,46,4370.228 ,0.210 ,0.001 
788,17,599.253 ,0.112 ,0.001 
789,9,164.078 ,0.080 ,0.000 
790,1,0.000 ,0.015 ,0.000 
791,5,107.710 ,0.050 ,0.000 
792,2,0.000 ,0.026 ,0.000 
793,1,0.000 ,0.015 ,0.000 
794,52,4946.951 ,0.251 ,0.002 
795,19,429.098 ,0.122 ,0.001 
796,58,8156.902 ,0.277 ,0.002 
797,35,2387.334 ,0.219 ,0.001 
798,11,212.090 ,0.107 ,0.000 
799,13,697.319 ,0.122 ,0.000 
800,30,1489.368 ,0.205 ,0.001 
801,12,188.330 ,0.085 ,0.000 
802,22,673.955 ,0.151 ,0.001 
803,22,1702.322 ,0.126 ,0.001 
804,4,366.166 ,0.018 ,0.000 
805,7,199.575 ,0.067 ,0.000 
806,11,120.500 ,0.106 ,0.000 
807,15,390.360 ,0.122 ,0.001 
808,5,19.911 ,0.038 ,0.000 
809,12,192.847 ,0.111 ,0.000 
810,32,4697.411 ,0.195 ,0.001 
811,22,9093.630 ,0.107 ,0.001 
812,2,37.458 ,0.016 ,0.000 
813,23,1661.929 ,0.114 ,0.001 
814,41,1844.610 ,0.256 ,0.001 
815,18,608.663 ,0.109 ,0.001 
816,2,6.971 ,0.019 ,0.000 
817,2,10.595 ,0.020 ,0.000 
818,18,1105.338 ,0.138 ,0.001 
819,14,870.748 ,0.100 ,0.000 
820,6,246.158 ,0.040 ,0.000 
821,23,2433.261 ,0.157 ,0.001 
822,3,63.281 ,0.036 ,0.000 
823,7,108.836 ,0.069 ,0.000 
824,7,91.699 ,0.059 ,0.000 
825,11,772.892 ,0.068 ,0.000 
826,4,13.431 ,0.028 ,0.000 
827,1,0.000 ,0.014 ,0.000 
828,1,0.000 ,0.014 ,0.000 
829,7,54.026 ,0.043 ,0.000 
830,1,0.000 ,0.014 ,0.000 
831,1,0.000 ,0.014 ,0.000 
832,10,167.089 ,0.072 ,0.000 
833,13,1462.212 ,0.085 ,0.000 
834,4,19.935 ,0.046 ,0.000 
835,2,3.145 ,0.019 ,0.000 
836,7,1955.091 ,0.050 ,0.000 
837,4,31.714 ,0.027 ,0.000 
838,9,185.931 ,0.053 ,0.000 
839,1,0.000 ,0.014 ,0.000 
840,18,3222.426 ,0.065 ,0.001 
841,21,491.422 ,0.142 ,0.001 
842,2,4.779 ,0.026 ,0.000 
843,1,0.000 ,0.014 ,0.000 
844,1,0.000 ,0.014 ,0.000 
845,1,0.000 ,0.014 ,0.000 
846,2,0.000 ,0.018 ,0.000 
847,23,3193.433 ,0.139 ,0.001 
848,1,0.000 ,0.014 ,0.000 
849,11,579.068 ,0.067 ,0.000 
850,26,4430.697 ,0.102 ,0.001 
851,1,0.000 ,0.014 ,0.000 
852,12,167.780 ,0.078 ,0.000 
853,3,8.906 ,0.023 ,0.000 
854,1,0.000 ,0.014 ,0.000 
855,4,36.291 ,0.041 ,0.000 
856,9,78.424 ,0.055 ,0.000 
857,12,312.053 ,0.076 ,0.000 
858,3,18.919 ,0.025 ,0.000 
859,3,48.267 ,0.021 ,0.000 
860,1,0.000 ,0.014 ,0.000 
861,22,1916.093 ,0.112 ,0.001 
862,5,49.176 ,0.028 ,0.000 
863,1,0.000 ,0.008 ,0.000 
864,5,92.315 ,0.023 ,0.000 
865,60,6021.511 ,0.332 ,0.002 
866,17,182.650 ,0.090 ,0.001 
867,3,109.540 ,0.016 ,0.000 
868,90,20753.887 ,0.330 ,0.003 
869,21,418.257 ,0.126 ,0.001 
870,2,14.088 ,0.009 ,0.000 
871,2,0.000 ,0.028 ,0.000 
872,5,219.600 ,0.041 ,0.000 
873,4,50.117 ,0.023 ,0.000 
874,32,1685.014 ,0.200 ,0.001 
875,4,38.608 ,0.027 ,0.000 
876,13,250.188 ,0.086 ,0.000 
877,7,65.537 ,0.038 ,0.000 
878,24,3101.927 ,0.093 ,0.001 
879,2,3780.000 ,0.008 ,0.000 
880,1,0.000 ,0.008 ,0.000 
881,1,0.000 ,0.008 ,0.000 
882,1,0.000 ,0.008 ,0.000 
883,6,64.590 ,0.025 ,0.000 
884,10,272.869 ,0.048 ,0.000 
885,8,224.299 ,0.017 ,0.000 
886,23,1175.652 ,0.106 ,0.001 
887,33,5488.767 ,0.190 ,0.001 
888,14,2227.188 ,0.102 ,0.001 
889,28,2661.355 ,0.128 ,0.001 
890,30,2095.527 ,0.200 ,0.001 
891,13,222.219 ,0.067 ,0.000 
892,13,160.416 ,0.099 ,0.000 
893,6,57.862 ,0.036 ,0.000 
894,21,768.099 ,0.086 ,0.001 
895,17,583.611 ,0.093 ,0.001 
896,6,22.744 ,0.052 ,0.000 
897,4,22.580 ,0.046 ,0.000 
898,4,10.166 ,0.051 ,0.000 
899,2,7.464 ,0.008 ,0.000 
900,6,84.859 ,0.052 ,0.000 
901,20,4796.417 ,0.072 ,0.001 
902,5,145.268 ,0.031 ,0.000 
903,50,5044.367 ,0.221 ,0.002 
904,5,110.975 ,0.019 ,0.000 
905,143,23906.285 ,0.651 ,0.004 
906,11,148.864 ,0.057 ,0.000 
907,21,1176.048 ,0.120 ,0.001 
908,20,494.888 ,0.119 ,0.001 
909,16,408.025 ,0.083 ,0.001 
910,9,159.705 ,0.056 ,0.000 
911,14,347.937 ,0.063 ,0.000 
912,4,5.364 ,0.028 ,0.000 
913,4,118.279 ,0.014 ,0.000 
914,26,711.541 ,0.169 ,0.001 
915,1,0.000 ,0.006 ,0.000 
916,7,168.176 ,0.047 ,0.000 
917,6,68.842 ,0.039 ,0.000 
918,46,4061.089 ,0.224 ,0.001 
919,4,21.635 ,0.018 ,0.000 
920,22,1416.543 ,0.100 ,0.001 
921,23,2493.168 ,0.120 ,0.001 
922,7,190.046 ,0.032 ,0.000 
923,2,7.645 ,0.008 ,0.000 
924,17,407.092 ,0.133 ,0.001 
925,2,2.362 ,0.009 ,0.000 
926,30,3000.434 ,0.209 ,0.001 
927,22,679.913 ,0.102 ,0.001 
928,5,30.475 ,0.023 ,0.000 
929,1,0.000 ,0.006 ,0.000 
930,1,0.000 ,0.006 ,0.000 
931,7,36.342 ,0.052 ,0.000 
932,6,93.589 ,0.027 ,0.000 
933,1,0.000 ,0.006 ,0.000 
934,4,12.807 ,0.021 ,0.000 
935,5,48.045 ,0.013 ,0.000 
936,31,3807.839 ,0.151 ,0.001 
937,2,8.847 ,0.005 ,0.000 
938,7,50.679 ,0.037 ,0.000 
939,1,0.000 ,0.003 ,0.000 
940,1,0.000 ,0.003 ,0.000 
941,14,4547.924 ,0.055 ,0.001 
942,20,515.962 ,0.110 ,0.001 
943,22,880.403 ,0.090 ,0.001 
944,29,1774.745 ,0.182 ,0.001 
945,15,2137.994 ,0.069 ,0.001 
946,1,0.000 ,0.004 ,0.000 
947,74,19858.314 ,0.348 ,0.003 
948,3,3.263 ,0.012 ,0.000 
949,4,2.782 ,0.029 ,0.000 
950,20,454.909 ,0.140 ,0.001 
951,60,8099.048 ,0.362 ,0.002 
952,5,10.334 ,0.044 ,0.000 
953,9,143.758 ,0.071 ,0.000 
954,59,7741.390 ,0.251 ,0.002 
955,3,15.055 ,0.021 ,0.000 
956,1,0.000 ,0.008 ,0.000 
957,19,500.373 ,0.129 ,0.001 
958,48,2712.397 ,0.292 ,0.001 
959,22,752.378 ,0.160 ,0.001 
960,26,691.049 ,0.194 ,0.001 
961,21,3516.858 ,0.128 ,0.001 
962,39,2057.050 ,0.245 ,0.001 
963,40,14523.977 ,0.160 ,0.002 
964,15,380.228 ,0.076 ,0.001 
965,6,56.189 ,0.036 ,0.000 
966,13,135.994 ,0.070 ,0.000 
967,20,852.737 ,0.112 ,0.001 
968,12,397.375 ,0.077 ,0.000 
969,1,0.000 ,0.008 ,0.000 
970,5,61.548 ,0.030 ,0.000 
971,10,76.868 ,0.065 ,0.000 
972,24,881.037 ,0.120 ,0.001 
973,22,682.021 ,0.159 ,0.001 
974,2,13.537 ,0.015 ,0.000 
975,1,0.000 ,0.014 ,0.000 
976,8,182.332 ,0.071 ,0.000 
977,5,26.744 ,0.040 ,0.000 
978,31,2981.378 ,0.154 ,0.001 
979,57,7750.453 ,0.320 ,0.002 
980,13,527.436 ,0.087 ,0.000 
981,11,387.954 ,0.078 ,0.000 
982,2,3.454 ,0.034 ,0.000 
983,4,76.773 ,0.029 ,0.000 
984,7,135.611 ,0.044 ,0.000 
985,12,169.057 ,0.108 ,0.000 
986,5,33.916 ,0.028 ,0.000 
987,7,55.476 ,0.043 ,0.000 
988,6,17.987 ,0.060 ,0.000 
989,17,375.684 ,0.106 ,0.001 
990,13,459.553 ,0.075 ,0.000 
991,5,168.820 ,0.017 ,0.000 
992,2,0.000 ,0.028 ,0.000 
993,21,2851.062 ,0.128 ,0.001 
994,2,7.557 ,0.021 ,0.000 
995,4,52.155 ,0.026 ,0.000 
996,1,0.000 ,0.014 ,0.000 
997,1,0.000 ,0.014 ,0.000 
998,1,0.000 ,0.014 ,0.000 
999,1,0.000 ,0.014 ,0.000 
1000,18,822.071 ,0.085 ,0.001 
1001,7,104.084 ,0.048 ,0.000 
1002,52,2963.372 ,0.281 ,0.002 
1003,3,6.000 ,0.026 ,0.000 
1004,19,491.020 ,0.115 ,0.001 
1005,19,1226.830 ,0.096 ,0.001 
1006,3,4.690 ,0.020 ,0.000 
1007,19,666.984 ,0.114 ,0.001 
1008,13,145.848 ,0.094 ,0.000 
1009,71,5242.946 ,0.362 ,0.002 
1010,25,498.102 ,0.172 ,0.001 
1011,21,1743.426 ,0.093 ,0.001 
1012,14,171.318 ,0.104 ,0.000 
1013,2,1.012 ,0.014 ,0.000 
1014,2,18.789 ,0.010 ,0.000 
1015,22,708.496 ,0.129 ,0.001 
1016,4,9.679 ,0.033 ,0.000 
1017,13,327.056 ,0.086 ,0.000 
1018,6,82.393 ,0.035 ,0.000 
1019,7,305.110 ,0.020 ,0.000 
1020,6,76.984 ,0.039 ,0.000 
1021,27,2111.703 ,0.118 ,0.001 
1022,5,11.716 ,0.064 ,0.000 
1023,3,35.630 ,0.020 ,0.000 
1024,8,127.996 ,0.047 ,0.000 
1025,2,0.000 ,0.013 ,0.000 
1026,22,1205.044 ,0.099 ,0.001 
1027,2,3.695 ,0.023 ,0.000 
1028,25,1621.853 ,0.137 ,0.001 
1029,13,361.983 ,0.047 ,0.000 
1030,3,6.948 ,0.021 ,0.000 
1031,37,3757.534 ,0.152 ,0.001 
1032,2,0.845 ,0.010 ,0.000 
1033,1,0.000 ,0.001 ,0.000 
1034,12,217.405 ,0.036 ,0.000 
1035,7,84.755 ,0.023 ,0.000 
1036,26,774.745 ,0.127 ,0.001 
1037,16,252.171 ,0.104 ,0.001 
1038,12,170.494 ,0.086 ,0.000 
1039,13,189.305 ,0.097 ,0.000 
1040,2,1891.000 ,0.006 ,0.000 
1041,6,46.575 ,0.045 ,0.000 
1042,17,1488.208 ,0.107 ,0.001 
1043,17,1228.999 ,0.114 ,0.001 
1044,4,16.318 ,0.006 ,0.000 
1045,1,0.000 ,0.001 ,0.000 
1046,12,891.808 ,0.054 ,0.001 
1047,2,0.000 ,0.006 ,0.000 
1048,4,43.059 ,0.028 ,0.000 
1049,2,2.624 ,0.017 ,0.000 
1050,5,9.211 ,0.037 ,0.000 
1051,2,6.009 ,0.017 ,0.000 
1052,16,2976.151 ,0.041 ,0.001 
1053,7,107.447 ,0.040 ,0.000 
1054,5,55.920 ,0.024 ,0.000 
1055,2,1.359 ,0.013 ,0.000 
1056,2,86.518 ,0.007 ,0.000 
1057,1,0.000 ,0.007 ,0.000 
1058,2,179.218 ,0.007 ,0.000 
1059,1,0.000 ,0.007 ,0.000 
1060,3,14.179 ,0.013 ,0.000 
1061,9,343.916 ,0.025 ,0.000 
1062,3,122.552 ,0.011 ,0.000 
1063,1,0.000 ,0.003 ,0.000 
1064,3,11.537 ,0.014 ,0.000 
1065,9,77.879 ,0.085 ,0.000 
1066,52,3502.975 ,0.213 ,0.002 
1067,18,448.353 ,0.116 ,0.001 
1068,21,346.844 ,0.132 ,0.001 
1069,4,3.025 ,0.030 ,0.000 
1070,78,9725.295 ,0.313 ,0.002 
1071,8,1922.044 ,0.042 ,0.000 
1072,3,1.210 ,0.035 ,0.000 
1073,4,25.307 ,0.008 ,0.000 
1074,3,1.164 ,0.010 ,0.000 
1075,4,37.087 ,0.017 ,0.000 
1076,1,0.000 ,0.006 ,0.000 
1077,9,340.739 ,0.045 ,0.000 
1078,7,171.266 ,0.060 ,0.000 
1079,20,448.930 ,0.101 ,0.001 
1080,2,1.263 ,0.027 ,0.000 
1081,2,0.000 ,0.031 ,0.000 
1082,6,88.734 ,0.051 ,0.000 
1083,3,7.094 ,0.036 ,0.000 
1084,4,81.977 ,0.044 ,0.000 
1085,4,21.731 ,0.053 ,0.000 
1086,9,103.350 ,0.074 ,0.000 
1087,6,90.095 ,0.076 ,0.000 
1088,12,322.534 ,0.104 ,0.000 
1089,18,1732.981 ,0.126 ,0.001 
1090,18,643.183 ,0.102 ,0.001 
1091,9,2044.321 ,0.066 ,0.000 
1092,6,67.947 ,0.043 ,0.000 
1093,14,3689.473 ,0.087 ,0.001 
1094,12,197.824 ,0.120 ,0.000 
1095,2,14.980 ,0.029 ,0.000 
1096,2,1.485 ,0.032 ,0.000 
1097,2,1.485 ,0.032 ,0.000 
1098,3,3.756 ,0.038 ,0.000 
1099,4,72.368 ,0.040 ,0.000 
1100,1,0.000 ,0.021 ,0.000 
1101,5,70.740 ,0.044 ,0.000 
1102,7,1975.482 ,0.069 ,0.000 
1103,10,117.386 ,0.079 ,0.000 
1104,7,526.850 ,0.034 ,0.000 
1105,22,1235.362 ,0.143 ,0.001 
1106,6,71.088 ,0.053 ,0.000 
1107,10,368.661 ,0.054 ,0.000 
1108,16,2090.677 ,0.117 ,0.001 
1109,1,0.000 ,0.020 ,0.000 
1110,20,539.613 ,0.133 ,0.001 
1111,32,1366.337 ,0.169 ,0.001 
1112,8,1939.400 ,0.054 ,0.000 
1113,28,2421.165 ,0.149 ,0.001 
1114,5,53.718 ,0.047 ,0.000 
1115,8,1976.847 ,0.040 ,0.000 
1116,19,406.837 ,0.145 ,0.001 
1117,9,117.091 ,0.079 ,0.000 
1118,25,768.466 ,0.124 ,0.001 
1119,19,1824.313 ,0.093 ,0.001 
1120,1,0.000 ,0.020 ,0.000 
1121,10,96.180 ,0.089 ,0.000 
1122,1,0.000 ,0.020 ,0.000 
1123,6,57.355 ,0.039 ,0.000 
1124,12,460.446 ,0.078 ,0.000 
1125,6,256.441 ,0.044 ,0.000 
1126,3,1.929 ,0.030 ,0.000 
1127,2,0.000 ,0.027 ,0.000 
1128,4,20.657 ,0.033 ,0.000 
1129,5,47.143 ,0.028 ,0.000 
1130,2,5.333 ,0.025 ,0.000 
1131,1,0.000 ,0.020 ,0.000 
1132,2,0.000 ,0.031 ,0.000 
1133,1,0.000 ,0.020 ,0.000 
1134,2,2.790 ,0.025 ,0.000 
1135,2,1891.000 ,0.021 ,0.000 
1136,5,59.112 ,0.028 ,0.000 
1137,1,0.000 ,0.020 ,0.000 
1138,1,0.000 ,0.020 ,0.000 
1139,2,0.000 ,0.028 ,0.000 
1140,1,0.000 ,0.020 ,0.000 
1141,1,0.000 ,0.020 ,0.000 
1142,1,0.000 ,0.020 ,0.000 
1143,2,0.000 ,0.023 ,0.000 
1144,3,24.358 ,0.026 ,0.000 
1145,25,3198.076 ,0.127 ,0.001 
1146,2,22.361 ,0.021 ,0.000 
1147,5,39.253 ,0.047 ,0.000 
1148,12,524.872 ,0.066 ,0.000 
1149,2,3.573 ,0.025 ,0.000 
1150,15,483.994 ,0.092 ,0.001 
1151,12,436.252 ,0.076 ,0.000 
1152,2,4.252 ,0.030 ,0.000 
1153,11,242.393 ,0.065 ,0.000 
1154,34,1950.589 ,0.172 ,0.001 
1155,5,15.726 ,0.041 ,0.000 
1156,33,4764.185 ,0.167 ,0.001 
1157,82,12948.753 ,0.343 ,0.003 
1158,10,675.166 ,0.033 ,0.000 
1159,3,5.568 ,0.014 ,0.000 
1160,8,49.871 ,0.062 ,0.000 
1161,6,133.679 ,0.039 ,0.000 
1162,5,48.840 ,0.043 ,0.000 
1163,1,0.000 ,0.009 ,0.000 
1164,3,7.688 ,0.027 ,0.000 
1165,37,1811.344 ,0.187 ,0.001 
1166,13,138.566 ,0.105 ,0.000 
1167,3,22.333 ,0.020 ,0.000 
1168,4,140.775 ,0.031 ,0.000 
1169,4,33.902 ,0.013 ,0.000 
1170,21,1008.425 ,0.091 ,0.001 
1171,9,76.389 ,0.029 ,0.000 
1172,3,5.654 ,0.010 ,0.000 
1173,6,24.257 ,0.027 ,0.000 
1174,8,58.922 ,0.038 ,0.000 
1175,1,0.000 ,0.004 ,0.000 
1176,2,25.253 ,0.007 ,0.000 
1177,16,497.275 ,0.076 ,0.001 
1178,8,59.805 ,0.038 ,0.000 
1179,7,111.647 ,0.040 ,0.000 
1180,1,0.000 ,0.005 ,0.000 
1181,3,7.000 ,0.008 ,0.000 
1182,12,280.556 ,0.054 ,0.000 
1183,16,255.408 ,0.060 ,0.001 
1184,2,1.015 ,0.007 ,0.000 
1185,46,9714.208 ,0.154 ,0.002 
1186,21,1190.688 ,0.094 ,0.001 
1187,3,11.986 ,0.028 ,0.000 
1188,3,163.185 ,0.020 ,0.000 
1189,1,0.000 ,0.009 ,0.000 
1190,6,82.998 ,0.039 ,0.000 
1191,2,6.562 ,0.010 ,0.000 
1192,8,94.680 ,0.062 ,0.000 
1193,1,0.000 ,0.009 ,0.000 
1194,7,48.579 ,0.048 ,0.000 
1195,3,14.958 ,0.016 ,0.000 
1196,2,7.463 ,0.011 ,0.000 
1197,4,38.304 ,0.038 ,0.000 
1198,14,2055.649 ,0.086 ,0.001 
1199,1,0.000 ,0.009 ,0.000 
1200,1,0.000 ,0.009 ,0.000 
1201,6,309.362 ,0.027 ,0.000 
1202,6,348.623 ,0.034 ,0.000 
1203,1,0.000 ,0.009 ,0.000 
1204,20,4428.127 ,0.092 ,0.001 
1205,12,807.854 ,0.038 ,0.001 
1206,6,1906.254 ,0.030 ,0.000 
1207,1,0.000 ,0.009 ,0.000 
1208,24,601.418 ,0.123 ,0.001 
1209,27,1044.047 ,0.130 ,0.001 
1210,5,28.356 ,0.041 ,0.000 
1211,2,0.000 ,0.018 ,0.000 
1212,10,2017.873 ,0.052 ,0.000 
1213,1,0.000 ,0.002 ,0.000 
1214,69,9484.639 ,0.226 ,0.002 
1215,10,1957.246 ,0.074 ,0.000 
1216,1,0.000 ,0.002 ,0.000 
1217,8,167.661 ,0.024 ,0.000 
1218,1,0.000 ,0.001 ,0.000 
1219,1,0.000 ,0.005 ,0.000 
1220,1,0.000 ,0.005 ,0.000 
1221,1,0.000 ,0.005 ,0.000 
1222,1,0.000 ,0.005 ,0.000 
1223,4,129.732 ,0.022 ,0.000 
1224,1,0.000 ,0.011 ,0.000 
1225,1,0.000 ,0.011 ,0.000 
1226,1,0.000 ,0.011 ,0.000 
1227,5,105.355 ,0.048 ,0.000 
1228,1,0.000 ,0.011 ,0.000 
1229,1,0.000 ,0.011 ,0.000 
1230,5,60.767 ,0.041 ,0.000 
1231,6,1123.413 ,0.055 ,0.000 
1232,39,1770.260 ,0.195 ,0.001 
1233,6,273.549 ,0.038 ,0.000 
1234,3,0.764 ,0.036 ,0.000 
1235,9,77.397 ,0.054 ,0.000 
1236,5,92.710 ,0.029 ,0.000 
1237,1,0.000 ,0.011 ,0.000 
1238,3,27.742 ,0.025 ,0.000 
1239,1,0.000 ,0.002 ,0.000 
1240,2,2.471 ,0.008 ,0.000 
1241,9,257.478 ,0.030 ,0.000 
1242,3,1899.310 ,0.004 ,0.000 
1243,1,0.000 ,0.000 ,0.000 
1244,3,15.759 ,0.022 ,0.000 
1245,14,950.713 ,0.061 ,0.001 
1246,16,585.460 ,0.087 ,0.001 
1247,11,123.218 ,0.053 ,0.000 
1248,7,42.916 ,0.040 ,0.000 
1249,2,34.109 ,0.006 ,0.000 
1250,1,0.000 ,0.005 ,0.000 
1251,1,0.000 ,0.015 ,0.000 
1252,1,0.000 ,0.015 ,0.000 
1253,20,2173.520 ,0.125 ,0.001 
1254,46,2059.263 ,0.260 ,0.001 
1255,2,0.000 ,0.031 ,0.000 
1256,8,257.466 ,0.028 ,0.000 
1257,10,345.560 ,0.076 ,0.000 
1258,4,88.024 ,0.029 ,0.000 
1259,2,3.750 ,0.030 ,0.000 
1260,7,73.423 ,0.048 ,0.000 
1261,1,0.000 ,0.015 ,0.000 
1262,1,0.000 ,0.015 ,0.000 
1263,1,0.000 ,0.015 ,0.000 
1264,18,586.502 ,0.118 ,0.001 
1265,3,6.600 ,0.004 ,0.000 
1266,2,1.230 ,0.010 ,0.000 
1267,6,57.066 ,0.029 ,0.000 
1268,2,0.820 ,0.013 ,0.000 
1269,4,29.373 ,0.017 ,0.000 
1270,4,49.515 ,0.031 ,0.000 
1271,3,31.209 ,0.011 ,0.000 
1272,12,445.094 ,0.041 ,0.000 
1273,9,100.925 ,0.028 ,0.000 
1274,6,175.804 ,0.042 ,0.000 
1275,4,38.258 ,0.026 ,0.000 
1276,2,10.779 ,0.008 ,0.000 
1277,18,1167.401 ,0.101 ,0.001 
1278,8,36.605 ,0.043 ,0.000 
1279,12,273.236 ,0.064 ,0.000 
1280,30,1867.516 ,0.166 ,0.001 
1281,7,86.778 ,0.054 ,0.000 
1282,9,211.705 ,0.051 ,0.000 
1283,4,204.678 ,0.025 ,0.000 
1284,3,5.437 ,0.012 ,0.000 
1285,1,0.000 ,0.003 ,0.000 
1286,1,0.000 ,0.003 ,0.000 
1287,117,24159.343 ,0.537 ,0.004 
1288,4,3.834 ,0.025 ,0.000 
1289,14,284.356 ,0.089 ,0.000 
1290,22,1244.430 ,0.087 ,0.001 
1291,2,0.000 ,0.011 ,0.000 
1292,9,39.772 ,0.049 ,0.000 
1293,6,14.136 ,0.041 ,0.000 
